二主義,1345,1345,8000,名詞,一般,*,*,*,*,二主義,ニシュギ,ニシュギ,1/3,*,に[し]ユぎ
二朱様,1345,1345,8000,名詞,一般,*,*,*,*,二朱様,ニシュサマ,ニシュサマ,1/4,*,に[しユ]さま
二酒場,1345,1345,8000,名詞,一般,*,*,*,*,二酒場,ニシュジョウ,ニシュジョウ,0/4,*,に[しユじヨう
二種数,1345,1345,8000,名詞,一般,*,*,*,*,二種数,ニシュスウ,ニシュスウ,1/4,*,に[しユ]すう
二朱銭,1345,1345,8000,名詞,一般,*,*,*,*,二朱銭,ニシュセン,ニシュセン,1/4,*,に[しユ]せん
二種族,1345,1345,8000,名詞,一般,*,*,*,*,二種族,ニシュゾク,ニシュゾク,1/4,*,に[しユ]ぞく
二主題,1345,1345,8000,名詞,一般,*,*,*,*,二主題,ニシュダイ,ニシュダイ,1/4,*,に[しユ]だい
二出産,1345,1345,8000,名詞,一般,*,*,*,*,二出産,ニシュッサン,ニシュッサン,1/5,*,に[しユ]っさん
二種共,1345,1345,8000,名詞,一般,*,*,*,*,二種共,ニシュトモ,ニシュトモ,1/4,*,に[しユ]とも
二朱形,1345,1345,8000,名詞,一般,*,*,*,*,二朱形,ニシュナリ,ニシュナリ,1/4,*,に[しユ]なり
二手法,1345,1345,8000,名詞,一般,*,*,*,*,二手法,ニシュホウ,ニシュホウ,1/4,*,に[しユ]ほう
二種房,1345,1345,8000,名詞,一般,*,*,*,*,二種房,ニシュボウ,ニシュボウ,1/4,*,に[しユ]ぼう
西勇輝,1349,1349,8000,名詞,固有名詞,人名,一般,*,*,西勇輝,ニシユウキ,ニシユウキ,3/5,*,に[しゆ]うき
二書院,1345,1345,8000,名詞,一般,*,*,*,*,二書院,ニショイン,ニショイン,1/4,*,に[しヨ]いん
二障害,1345,1345,8000,名詞,一般,*,*,*,*,二障害,ニショウガイ,ニショウガイ,3/5,*,に[しヨう]がい
二償金,1345,1345,8000,名詞,一般,*,*,*,*,二償金,ニショウキン,ニショウキン,3/5,*,に[しヨう]きん
二承褻,1345,1345,8000,名詞,一般,*,*,*,*,二承褻,ニショウケ,ニショウケ,1/4,*,に[しヨ]うけ
二商権,1345,1345,8000,名詞,一般,*,*,*,*,二商権,ニショウケン,ニショウケン,3/5,*,に[しヨう]けん
二証券,1345,1345,8000,名詞,一般,*,*,*,*,二証券,ニショウケン,ニショウケン,3/5,*,に[しヨう]けん
二象限,1345,1345,8000,名詞,一般,*,*,*,*,二象限,ニショウゲン,ニショウゲン,3/5,*,に[しヨう]げん
二小国,1345,1345,8000,名詞,一般,*,*,*,*,二小国,ニショウコク,ニショウコク,3/5,*,に[しヨう]こく
二正午,1345,1345,8000,名詞,一般,*,*,*,*,二正午,ニショウゴ,ニショウゴ,1/4,*,に[しヨ]うご
